"","X","Y","Z","temp_k","x","y"
"1",0.341823103,0.657257045543,0.000919851457,500,0.328168597043,0.296027490798425
"2",0.348799236,0.650385711218,0.000815052782,500,0.324785329218,0.302068999196604
"3",0.341483151,0.658506849,1e-05,500,0.3292484245,0.295733083730357
"4",0.341057592,0.658336132692,0.000606275308,500,0.328864928692,0.295364538825548
"5",0.340823386,0.658240547227,0.000936066773,500,0.328652240227,0.29516171047983
"6",0.349284721,0.650705279,1e-05,500,0.3253476395,0.30248944153976
"7",0.348919071,0.650464955228,0.000615973772,500,0.324924490728,0.302172779350866
"8",0.348799236,0.650385711306,0.000815052694,500,0.324785329306,0.302068999196604
"9",0.349284721,0.650705279,1e-05,500,0.3253476395,0.30248944153976
"10",0.348919071,0.650464955228,0.000615973772,500,0.324924490728,0.302172779350866
"11",0.348799236,0.650385711306,0.000815052694,500,0.324785329306,0.302068999196604
"12",0.349284721,0.650705279,1e-05,500,0.3253476395,0.30248944153976
"13",0.348919071,0.650464955228,0.000615973772,500,0.324924490728,0.302172779350866
"14",0.348799236,0.650385711306,0.000815052694,500,0.324785329306,0.302068999196604
"15",0.349284721,0.650705279,1e-05,500,0.3253476395,0.30248944153976
"16",0.348919071,0.650464955228,0.000615973772,500,0.324924490728,0.302172779350866
"17",0.348799236,0.650385711306,0.000815052694,500,0.324785329306,0.302068999196604
"18",0.349284721,0.650705279,1e-05,500,0.3253476395,0.30248944153976
"19",0.348919071,0.650464955228,0.000615973772,500,0.324924490728,0.302172779350866
"20",0.348799236,0.650385711306,0.000815052694,500,0.324785329306,0.302068999196604
"21",0.337514719,0.66138104987,0.00110423113,505,0.33013840937,0.292296320805166
"22",0.350067952,0.649041830648,0.000890217352,505,0.324075806648,0.303167739482792
"23",0.337306243,0.662683757,1e-05,505,0.3313368785,0.292115775293087
"24",0.336879138,0.662511288984,0.000609573016,505,0.330950857984,0.291745891513004
"25",0.336515105,0.66236131085,0.00112358415,505,0.33061886335,0.291430629687188
"26",0.350596185,0.649393815,1e-05,505,0.3246919075,0.303625202679909
"27",0.350232645,0.649152067014,0.000615287986,505,0.324268389514,0.303310367804617
"28",0.350067952,0.649041830421,0.000890217579,505,0.324075806421,0.303167739482792
"29",0.350596185,0.649393815,1e-05,505,0.3246919075,0.303625202679909
"30",0.350232645,0.649152067014,0.000615287986,505,0.324268389514,0.303310367804617
"31",0.350067952,0.649041830421,0.000890217579,505,0.324075806421,0.303167739482792
"32",0.350596185,0.649393815,1e-05,505,0.3246919075,0.303625202679909
"33",0.350232645,0.649152067014,0.000615287986,505,0.324268389514,0.303310367804617
"34",0.350067952,0.649041830421,0.000890217579,505,0.324075806421,0.303167739482792
"35",0.350596185,0.649393815,1e-05,505,0.3246919075,0.303625202679909
"36",0.350232645,0.649152067014,0.000615287986,505,0.324268389514,0.303310367804617
"37",0.350067952,0.649041830421,0.000890217579,505,0.324075806421,0.303167739482792
"38",0.350596185,0.649393815,1e-05,505,0.3246919075,0.303625202679909
"39",0.350232645,0.649152067014,0.000615287986,505,0.324268389514,0.303310367804617
"40",0.350067952,0.649041830421,0.000890217579,505,0.324075806421,0.303167739482792
"41",0.350596185,0.649393815,1e-05,505,0.3246919075,0.303625202679909
"42",0.350232645,0.649152067014,0.000615287986,505,0.324268389514,0.303310367804617
"43",0.350067952,0.649041830421,0.000890217579,505,0.324075806421,0.303167739482792
"44",0.333127877,0.66554876233,0.00132336067,510,0.33211270083,0.288497204190778
"45",0.351344856,0.647683984932,0.000971159068,510,0.323356412932,0.304273570784985
"46",0.333074739,0.666915261,1e-05,510,0.3334526305,0.288451185332872
"47",0.332646189,0.666740866782,0.000612944218,510,0.333063961282,0.28808005014608
"48",0.332128404,0.66652519407,0.00134640193,510,0.33258939607,0.287631635182381
"49",0.351918719,0.648071281,1e-05,510,0.3240306405,0.304770550721277
"50",0.351557361,0.647828034761,0.000614604239,510,0.323606715261,0.304457605513417
"51",0.351344856,0.647683984726,0.000971159274,510,0.323356412726,0.304273570784985
"52",0.351918719,0.648071281,1e-05,510,0.3240306405,0.304770550721277
"53",0.351557361,0.647828034761,0.000614604239,510,0.323606715261,0.304457605513417
"54",0.351344856,0.647683984726,0.000971159274,510,0.323356412726,0.304273570784985
"55",0.351918719,0.648071281,1e-05,510,0.3240306405,0.304770550721277
"56",0.351557361,0.647828034761,0.000614604239,510,0.323606715261,0.304457605513417
"57",0.351344856,0.647683984726,0.000971159274,510,0.323356412726,0.304273570784985
"58",0.351918719,0.648071281,1e-05,510,0.3240306405,0.304770550721277
"59",0.351557361,0.647828034761,0.000614604239,510,0.323606715261,0.304457605513417
"60",0.351344856,0.647683984726,0.000971159274,510,0.323356412726,0.304273570784985
"61",0.351918719,0.648071281,1e-05,510,0.3240306405,0.304770550721277
"62",0.351557361,0.647828034761,0.000614604239,510,0.323606715261,0.304457605513417
"63",0.351344856,0.647683984726,0.000971159274,510,0.323356412726,0.304273570784985
"64",0.351918719,0.648071281,1e-05,510,0.3240306405,0.304770550721277
"65",0.351557361,0.647828034761,0.000614604239,510,0.323606715261,0.304457605513417
"66",0.351344856,0.647683984726,0.000971159274,510,0.323356412726,0.304273570784985
"67",0.328656084,0.66976033285,0.00158358315,515,0.33408837485,0.284624517852312
"68",0.352629953,0.64631176714,0.00105827986,515,0.32262674364,0.305386497433313
"69",0.328786204,0.671203796,1e-05,515,0.335596898,0.284737205077853
"70",0.328356312,0.671027296292,0.000616391708,515,0.335205452292,0.284364907684969
"71",0.327656792,0.6707322544,0.0016109536,515,0.3345606504,0.283759105594514
