"V1"
"NaCl"
"MgCl2"
"KCl"
"BaF2"
"LiF"
"NaF"
"UCl3"
"SrF2"
"BeF2"
"CeF3"
"CrF2"
"CrF3"
"CsF"
"CsI"
"FeF2"
"KF"
"KI"
"LaF3"
"LiI"
"PuF3"
"RbF"
"ThF4"
"UF3"
"UF4"
"ZrCl4"
"SmF3"
"UCl4"
"NdF3"
"ZrF4"
"NaI"
"NiF2"
"PrF3"
"YF3"
"RbI"
"CaF2"
"LiBr"
"CsCl"
"CrCl2"
"LiCl"
