"V1"
"BaF2"
"BeF2"
"CeF3"
"CrF2"
"CrF3"
"CsF"
"CsI"
"FeF2"
"KF"
"KI"
"LaF3"
"LiF"
"LiI"
"NaF"
"PuF3"
"RbF"
"ThF4"
"UF3"
"UF4"
"AlCl3"
"BaCl2"
"CaCl2"
"CeCl3"
"CrCl2"
"CrCl3"
"CsCl"
"FeCl2"
"KCl"
"LaCl3"
"LiCl"
"MgCl2"
"NaCl"
"PuCl3"
"UCl3"
"NdF3"
"ZrF4"
"NaI"
"NiF2"
"SrF2"
"PrF3"
"YF3"
"RbI"
"RbCl"
"NdCl3"
"MgI2"
"FeCl3"
"NiCl2"
"SrCl2"
"UCl4"
"ZrCl4"
"CaF2"
"LiBr"
"SmF3"
