"V1"
"KF"
"NaF"
"CsCl"
"CsF"
"KCl"
"LiBr"
"LiCl"
"NaCl"
"LaF3"
"LiF"
"AlF3"
"MnCl2"
"FeCl2"
"CoCl2"
"AgCl"
"MgCl2"
"UF4"
"CsI"
"KI"
"LiI"
"NaI"
"NdF3"
"YbF3"
"YF3"
"RbCl"
"BaF2"
"BeF2"
"CeF3"
"CrF2"
"CrF3"
"FeF2"
"PuF3"
"RbF"
"SrF2"
"ThF4"
"UF3"
"ZrF4"
"NiF2"
"PrF3"
"SmF3"
"RbI"
