X,Y,group,Species 1,Species 2,Author
0.369805799,1308.06663,4,BaF2,KF,MSTDB-TC V3.1
0.392016956,1289.1351,4,BaF2,KF,MSTDB-TC V3.1
0.414283555,1270.38172,4,BaF2,KF,MSTDB-TC V3.1
0.436635502,1251.90684,4,BaF2,KF,MSTDB-TC V3.1
0.459103613,1233.81967,4,BaF2,KF,MSTDB-TC V3.1
0.481670307,1216.06978,4,BaF2,KF,MSTDB-TC V3.1
0.504256887,1198.38889,4,BaF2,KF,MSTDB-TC V3.1
0.526800338,1180.55878,4,BaF2,KF,MSTDB-TC V3.1
0.549273487,1162.48865,4,BaF2,KF,MSTDB-TC V3.1
0.571655699,1144.1138,4,BaF2,KF,MSTDB-TC V3.1
0.593926057,1125.37258,4,BaF2,KF,MSTDB-TC V3.1
0.616063144,1106.2063,4,BaF2,KF,MSTDB-TC V3.1
0.638044928,1086.55939,4,BaF2,KF,MSTDB-TC V3.1
0.659848772,1066.37986,4,BaF2,KF,MSTDB-TC V3.1
0.681451555,1045.61993,4,BaF2,KF,MSTDB-TC V3.1
0.702829927,1024.23686,4,BaF2,KF,MSTDB-TC V3.1
0.718360413,1008.1288,4,BaF2,KF,MSTDB-TC V3.1
0.99999,1008.1288,4,BaF2,KF,MSTDB-TC V3.1
1.00E-05,319.988587,1,BaF2,LiF,MSTDB-TC V3.1
0.5,319.988587,1,BaF2,LiF,MSTDB-TC V3.1
0.5,1116.13139,1,BaF2,LiF,MSTDB-TC V3.1
0.5250095,1116.13139,1,BaF2,LiF,MSTDB-TC V3.1
0.531810402,1116.13139,1,BaF2,LiF,MSTDB-TC V3.1
0.530957463,1116.96656,1,BaF2,LiF,MSTDB-TC V3.1
0.509574158,1137.68863,1,BaF2,LiF,MSTDB-TC V3.1
0.48808972,1158.14114,1,BaF2,LiF,MSTDB-TC V3.1
0.466525044,1178.37631,1,BaF2,LiF,MSTDB-TC V3.1
0.444902118,1198.45171,1,BaF2,LiF,MSTDB-TC V3.1
0.423256439,1218.46424,1,BaF2,LiF,MSTDB-TC V3.1
0.401689608,1238.69353,1,BaF2,LiF,MSTDB-TC V3.1
0.380314675,1259.4377,1,BaF2,LiF,MSTDB-TC V3.1
0.35910903,1280.622,1,BaF2,LiF,MSTDB-TC V3.1
0.338004876,1302.0642,1,BaF2,LiF,MSTDB-TC V3.1
0.316943383,1323.61352,1,BaF2,LiF,MSTDB-TC V3.1
0.295879763,1345.15752,1,BaF2,LiF,MSTDB-TC V3.1
0.274783876,1366.62054,1,BaF2,LiF,MSTDB-TC V3.1
0.253637755,1387.95662,1,BaF2,LiF,MSTDB-TC V3.1
0.232431816,1409.14017,1,BaF2,LiF,MSTDB-TC V3.1
0.211160892,1430.15626,1,BaF2,LiF,MSTDB-TC V3.1
